"","birth_yr","registered_voter","gender","race_eth","educ","pid7","ideology","income","facets_1","facets_2","facets_3","facets_4","facets_5","facets_6","facets_7","facets_8","facets_9","facets_10","facets_11","facets_12","facets_13","facets_14","facets_15","facets_16","facets_17","facets_18","facets_19","facets_20","big_five_1","big_five_2","big_five_3","big_five_4","big_five_5","big_five_6","big_five_7","big_five_8","big_five_9","big_five_10","vote","prefered_candidate","talk_politics","display_sign","persuade_vote","donate","written_politician","vote_2012","abortion","birth_citizenship","gay_marriage","affirmative_action","guns","global_warming","anger","breakfast_control","anger_politics","salience","cand_strong_position","compromise","blame_other_party","govt_corrupt","govt_unresponsive","govt_satisfied","vote_likelihood_2016","talk_about_2016","donate_likelihood16","display_yard_sign16","work_campaign16","attend_rally16"
"1269","1978","1","2","1","1","2","2","4","4","3","3","2","3","4","4","4","3","4","3","4","3","2","4","3","3","2","4","3","1","3","5","3","6","4","6","3","6","5","1","14","2","2","2","2","2","1","4","3","1","3","1","2","","I had a cup of coffee.  I felt that I wished I could afford something that would be quick and easy to make for breakfast, something that I could just pop in the microwave and eat quickly on my way to work, but due to the economy in the state of Wisconsin, I can't afford that kind of food because I need to pay my bills.  Basically, I was thinking that Scott Walker is a waste of space.  That being said, I feel like that every minute of every day.","","","2","2","7","9","9","3","1","1","7","6","7","5"
"1270","1954","1","2","1","1","3","2","10","3","1","3","1","1","5","5","4","4","5","1","1","1","1","1","5","5","5","5","5","7","1","6","1","4","2","7","1","7","1","1","1","3","2","2","2","2","1","4","1","1","3","1","4","","","","I feel that the people in our government such as senators, house of reps, etc should only be allowed to be in office just like the presidents for only a 2 term time limit.  They should not be allowed to make a career of it.  There needs to be fresh people voted in with fresh ideas instead of someone 80+ years old still there.  I think that we only need 1 representative from each state not more per state based on size.  It would cut down dramatically on salaries and benefits having to be paid to all those people in the senate, congress, etc.  There should also be an age limit on how old someone is to be in office.","4","3","4","8","9","0","4","3","7","4","7","7"
"1271","1988","1","2","1","5","3","3","8","4","3","4","3","3","3","2","3","2","4","2","2","2","2","2","3","4","3","4","2","5","3","7","4","5","5","6","3","5","3","2","2","6","2","1","2","1","1","4","2","1","2","1","1","I had a clear conversation with my husband about ordering concert tickets that I knew would sell out very fast. He assured me he would het them the minute they went on sale. I sent him a reminder text that morning butnhe never responded. I texted him again later and he still didn't answer. It was 7 hours after ticket launch that he finally called me back, only to inform me that he didn't understand what my reminder text meant butnhe didn't bother to find out and so no, he did not buy the concert tickets.","","","","4","3","6","6","6","6","1","2","3","6","7","7"
"1272","1935","1","2","1","4","5","7","2","5","4","2","4","3","3","4","-99","4","4","4","4","4","1","2","2","2","2","-99","3","3","5","7","5","4","5","1","1","5","2","2","10","1","2","2","2","2","1","4","1","3","4","2","4","","I had instant oatmeal with fresh blueberries and half and half.  I drank pink grapefruit juice and one cup of instant coffee with cream.  I watched the news on TV and thought about all the things I had to do today.  ","","","2","3","4","10","10","0","1","7","7","7","7","7"
"1273","1959","1","1","1","2","5","5","11","4","2","1","4","1","3","4","3","3","2","3","3","3","1","3","3","3","4","2","3","5","2","6","4","6","3","5","1","5","4","2","18","1","2","2","2","2","1","4","1","1","3","2","1","","","","","4","3","4","8","8","2","4","4","7","7","7","7"
"1274","1943","1","1","1","2","7","7","12","2","1","1","2","1","4","4","4","4","2","2","2","2","2","2","3","4","3","3","4","3","3","5","3","3","5","5","2","5","3","2","18","2","2","1","2","2","1","4","1","2","4","3","4","","","Mud slinging between candiadates","","1","3","7","10","8","1","1","2","7","7","7","7"
"1275","1963","1","2","4","4","5","4","3","4","3","2","4","3","2","3","2","4","4","2","3","3","2","1","1","2","2","3","4","2","1","6","2","7","7","2","4","5","4","1","17","3","2","2","2","1","1","2","1","2","3","1","2","","","","Politics leave me very frustrated and often discouraged. / It is hard to know who to trust any more.","2","3","6","10","10","1","2","4","7","6","6","7"
"1276","1970","1","2","1","2","4","2","1","3","3","3","3","3","3","3","4","3","3","3","3","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","5","3","1","18","1","2","2","2","2","1","3","1","2","3","3","2","","A  poptart  needed food so I would not get sick","","","2","3","6","6","7","3","1","5","7","7","7","5"
"1277","1983","1","2","4","5","1","4","12","4","-99","4","4","4","2","2","4","-99","4","4","4","4","4","4","2","2","2","4","2","6","6","6","2","2","2","3","3","2","2","1","1","5","2","1","2","2","1","1","2","2","2","1","1","","rich toast with black coffee and a fruit salad","","","2","1","5","2","3","7","1","1","5","5","5","5"
"1278","1984","1","1","5","4","4","5","11","4","3","1","1","1","1","5","1","3","5","1","1","1","1","1","5","5","5","5","5","6","1","7","1","7","5","6","1","7","2","1","18","4","2","2","1","2","1","2","2","2","1","2","4","","This morning I ate a bit of toasted wheat bagel, some honey nut cheerios, eggs and turkey sausage.I also had pomegranate juice and hot tea.","","","1","5","7","6","7","3","1","1","1","3","4","5"
