CASEID,v161116,v161121,v161236,v161158x,v161126,v161342,v161310a,v161270,v161215,v162011,v162010,v162012,v162013,v162014,v162016,v162017,v162018a,v162196,v162018b,v162019,v162216,v162215
300423, 1, 4, 2, 4, 4, 1, 0,13, 2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300424, 1, 4, 1, 1, 4, 2, 0, 9, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 5, 1
300434, 2, 2, 2, 4,99, 1, 1, 9, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300437, 2, 4, 2, 2, 3, 1, 1,12, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300448, 4, 2, 2, 5,99, 1, 1,10, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
300450, 1, 2, 1, 3, 3, 1, 1,13, 4, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4
300453, 4, 2, 2, 5, 4, 2, 1,13, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1,-8, 2, 4, 4
300454, 4, 4, 1, 1,99, 2, 0, 9, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
300456, 2, 5, 1, 2, 4, 2, 0,10, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 4
300458, 1, 5, 2, 3, 5, 2, 0, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
300460, 1, 4, 1, 2,99, 1, 0, 8, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300465, 2, 2, 1, 6, 4, 2, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 5
300467, 4, 3, 4, 7, 6, 1, 1,12, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 4, 4
300473, 3, 2, 1, 6,99, 1, 1, 9, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300475, 4, 4, 2, 6, 6, 1, 1,12, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300477, 4, 3, 3, 6, 6, 1, 1,12, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2
300482, 3, 5, 1, 1, 2, 2, 1, 9, 3, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 5, 2
300488, 4, 2, 2, 3, 4, 1, 1, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2
300493, 3, 3, 2, 4, 4, 2, 1,11, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
300495, 1, 2, 1, 3,99, 1, 1,10, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
300497, 1, 3, 2, 5, 3, 2, 0, 7, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
300499, 2, 5, 1, 1, 3, 2, 1,13, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2
